place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJ3S1NllbZQUcRqCdUlj1DLXY,Arnold Gym,ChZDSUhNMG9nS0VJQ0FnSUNIZ2NhaVNnEAE,5,"A very demanding, well-equipped gym. It was a little crowded in the afternoons on weekdays.",2 weeks ago,2024-09-06 14:19:35.470534,,,,1,2,,False,"Nagyon igenyes, jol felszerelt konditerem. Munkanapokon delutanonkent picit zsufolt.",
ChIJ3S1NllbZQUcRqCdUlj1DLXY,Arnold Gym,ChdDSUhNMG9nS0VJQ0FnSUNIbXVITnRBRRAB,5,,2 weeks ago,2024-09-06 14:19:35.501103,,,,0,6,,False,,
ChIJ3S1NllbZQUcRqCdUlj1DLXY,Arnold Gym,ChZDSUhNMG9nS0VJQ0FnSUNIOHZtUElnEAE,1,"Ive been coming here for a long time, but now that my pass has expired, Ill never do it again!! Practically, a complete school holds the physical education class, or I dont know what they are doing during school time, there is always a class of children who sweat all over, never use a towel, leave the weights where they just went and sit down in front of a machine where they talk on the phone for half an hour!!  The place became unpleasant!!  There are always more trainers downstairs, why dont they hire them??  It works like this in every normal place!!  Apart from me, I know 4 other people who go to another room for this reason....",2 weeks ago,2024-09-06 14:19:35.504075,"Dear Dau Mata! I read your opinion with regret. Many young people come to us, but not classes, we dont have any kind of agreement with schools. Thank you for visiting us so far!",2 weeks ago,2024-09-06 14:19:35.504075,0,5,,False,"Regota jarok ide de most, hogy lejart a berletem soha tobbet!! Gyakorlatilag egy komplett iskola tartja lent a testneveles orajat vagy nem tudom mit keres lent iskola id ben allandoan egy osztalynyi gyerek akik mindent osszeizzadnak, torolk t soha nem hasznalnak, a sulyokat ott hagyjak ahol epp jartak es leulnek egy gephez ahol agtan fel orat telefonoznak!!  Elvezhetetlen lett a hely!!  Lent van allandoan tobb edz  is azok miert nem szolnak rajuk??  Minden normalis helyen igy m kodik!!  Rajtam kivul meg 4 olyan embert tudok akik ezert mennek el masik terembe....","Kedves Dau Mata! Sajnalattal olvastam a velemenyed. Sok fiatal jar hozzank, de nem osztalyok, nincs semmifele megallapodasunk iskolakkal. Koszonjuk, hogy eddig hozzank jartal!"
ChIJ3S1NllbZQUcRqCdUlj1DLXY,Arnold Gym,ChdDSUhNMG9nS0VJQ0FnSUQ3cDVEcWtRRRAB,5,"Very nice gym, had everything you could need and cheap day pass",3 weeks ago,2024-08-30 14:19:35.507098,,,,0,7,4,False,,
ChIJ3S1NllbZQUcRqCdUlj1DLXY,Arnold Gym,ChdDSUhNMG9nS0VJQ0FnSUQ3M29pbHhRRRAB,5,"Great place   we have a great trainer Jozsef Nyircsak   , clean place, machines are well maintained, but the gym could use more disinfectants",3 weeks ago,2024-08-30 14:19:35.510098,,,,0,13,,False,"Szuper hely   remek edz nk van Nyircsak Jozsef   , tiszta hely, gepek rendben karbantartottak, de az edz teremben lehetne tobb fert tlenit",
ChIJ3S1NllbZQUcRqCdUlj1DLXY,Arnold Gym,ChZDSUhNMG9nS0VJQ0FnSUM3NzQ2M013EAE,5,,a month ago,2024-08-20 14:19:35.513103,,,,0,10,,True,,
ChIJ3S1NllbZQUcRqCdUlj1DLXY,Arnold Gym,ChdDSUhNMG9nS0VJQ0FnSUM3MWNmSXpnRRAB,4,"I would like a breast support paddle, thank you",a month ago,2024-08-20 14:19:35.515108,,,,0,1,,False,"Melltamaszos evez t szeretnek, koszonom",
ChIJ3S1NllbZQUcRqCdUlj1DLXY,Arnold Gym,ChZDSUhNMG9nS0VJQ0FnSUM3eHNPaVVREAE,5,"Orderly, well-equipped and cultured - all at a fair price.",a month ago,2024-08-20 14:19:35.518103,,,,0,130,53,False,"Rendezett, jol felszerelt es kulturalt - mindezt korrekt aron.",
ChIJ3S1NllbZQUcRqCdUlj1DLXY,Arnold Gym,ChdDSUhNMG9nS0VJQ0FnSUNidVBYdnZRRRAB,5,,a month ago,2024-08-20 14:19:35.520109,,,,0,,,,,
ChIJ3S1NllbZQUcRqCdUlj1DLXY,Arnold Gym,ChdDSUhNMG9nS0VJQ0FnSURqcVpETThRRRAB,5,,a month ago,2024-08-20 14:19:35.523110,,,,0,1,,False,,
